score,company,domain,industry,size_band,country,signal,contact_name,contact_title,contact_email,email_status,phone,linkedin,source_urls,why_prospect,confidence,verified_date,notes
Hot,Madini Estacionamentos e Valet,madini.com.br,Estacionamento / Valet,25+ anos / SP,BR,Operação diária de entrada-saída de veículos em shoppings e eventos — alto risco de disputa por avarias,,Comercial,,não publicado,(11) 3892-8295,,https://madini.com.br/,Valet e gestão de estacionamento exigem registro visual na entrega/devolução do veículo; encaixa vistoria rápida + histórico,High,2026-08-06,WhatsApp no site; solicitar orçamento PJ
Hot,Ultravalet,ultravalet.com.br,Estacionamento / Valet,Desde 2006 / SP,BR,Terceiriza manobrista e administra estacionamentos em hospitais shoppings e pátios,,Comercial,contato@ultravalet.com.br,publicado no site,(11) 5094-0011,,https://ultravalet.com.br/,Fluxo alto de veículos terceirizados; documentação de estado reduz responsabilidade operacional,High,2026-08-06,Email e telefone na página de contato
Hot,Fisa Locadora,fisa.com.br,Locadora / Frota,SME–mid / SP,BR,Posiciona gestão de frota para PME; frota refrigerada utilitários e elétricos,,Comercial,,não publicado,(11) 2369-7135,https://linkedin.com/company/fisa-locadora,https://fisa.com.br/;https://linkedin.com/company/fisa-locadora,Locadora SME com devolução recorrente — dor clássica de avarias pré-existentes vs novas,High,2026-08-06,Usar telefone/WhatsApp oficial; evitar email pessoal de LinkedIn
Hot,Grupo Fast Fleet (Fast Fix),fastfleet.com.br,Oficina / Frota,Desde 1996 / SP,BR,Parceria com gestoras de frotas; funilaria para concessionárias e blindados,,Comercial,contato@fastfleet.com.br,publicado no site,(11) 2271-2020,,https://fastfleet.com.br/,Oficina orientada a frota — beneficia de laudo digital antes/depois de reparo e handoff com locadoras,High,2026-08-06,Email no rodapé do site
Hot,Movility,movility.com.br,Locadora / Assinatura,Mid-market / nacional,BR,Modelo assinatura e locação mensal — ciclo contínuo de troca de veículos,,Comercial,,não verificado,,,https://movility.com.br/,Assinatura = mais handoffs/mês; histórico digital diferencia na devolução,Medium,2026-08-06,Confirmar canal comercial no site (timeout na verificação)
Warm,LVF Locadora,lvflocadora.com.br,Locadora / Frota,Regional,BR,Foco corporativo em locação mensal,,Comercial,,não verificado,,,https://lvflocadora.com.br/,ICP locadora; sinal de compra moderado sem evidência de expansão recente,Medium,2026-08-06,Validar contato no site antes do outreach
Warm,Alocar Locadora,alocar.com.br,Locadora / Frota,Regional / NE,BR,Atendimento corporativo multi-região,,Comercial,,não verificado,(85) 3219-1121,,https://alocar.com.br/,Locadora regional com operação B2B — vistoria padronizada escala atendimento,Medium,2026-08-06,Telefone corporativo em listagens públicas
Warm,Ribal Locadora,ribal.com.br,Locadora / Frota,SP,BR,Locação para empresas,,Comercial,,não verificado,,,https://ribal.com.br/,Fit locadora; falta sinal temporal forte,Medium,2026-08-06,Confirmar email comercial no site
Warm,Referência Locadora,referencialocadora.com.br,Locadora / Gestão frota,Brasil,BR,Posiciona gestão completa com gestor dedicado,,Gestor comercial,,não verificado,,,https://referencialocadora.com.br/,Gestão de frota terceirizada — múltiplos handoffs por cliente,Medium,2026-08-06,Buscar formulário/contato no site
Warm,Seteloc,seteloc.com.br,Terceirização de frota,150+ clientes / 22 estados,BR,Escala nacional em terceirização — 300 municípios,,Comercial,contato@seteloc.com.br,publicado no site,0800 700 0777,,https://www.seteloc.com.br/,Operador de frota em escala; laudo padronizado reduz atrito entre cliente e terceirizada,High,2026-08-06,Email comercial explícito no site
