nome,email,localizacao,categoria,site,telefone
Auto Mecânica Mário,mecmario.blu@gmail.com,SC,oficina/auto,,+55 47 3323-4511
Hoss Radiadores,radiadoreshoss@hotmail.com,"Rua Washington Luís, 520 - SC",oficina/auto,,+55 49 3322 6369
Auto Elétrica Pedrinho,pedro_paulo_paz@hotmail.com,"Rua Padre Diogo Antônio Feijó, 200 - SC",oficina/auto,,+55 49 3328 4334
Auto Mecânica e Elétrica JC,contato@automecanicajc.com.br,SC,oficina/auto,https://www.automecanicajc.com.br,+55 47 3323-3421
Finder Auto Center,contato@finderautocenter.com.br,"Rua Ibirama, 21 - SC",oficina/auto,https://www.finderautocenter.com.br,+55 47 3472-1000
Center Car Ingleses,atendimento@centercaringleses.com.br,"Rua Intendente João Nunes Vieira, 512 - SC",oficina/auto,http://centercaringleses.com.br,+55 48 3369-1943
Celmak Auto Center,celmak@celmak.com.br,SC,oficina/auto,https://celmak.com.br,+55 47 3387-2328
Garanzia Auto Center,garanziaautocenter@outlook.com,"Servidão Ferdinando Ricieri Tussetti, 4 - SC",oficina/auto,,+55 49 3025 2750
Auto Capa Oliveira,contato@autocapaoliveira.com.br,SC,oficina/auto,http://www.autocapaoliveira.com.br,"+55 47 3322-3873;+55 47 3222-0212"
Auto Elétrica Kuri,eletricakuri@gmail.com,SC,oficina/auto,,+55 47 3387-2432
MC Implementos Rodoviários,ncimplementos@ncimplementos.com.br,SC,oficina/auto,https://www.ncimplementos.com.br,+55 47 3521-7107
Auto Mecânica Brasil,contato@automecanicabrasil.com.br,SC,oficina/auto,https://www.automecanicabrasil.com.br,+55 47 3327-2931
Auto Mecânica Lamin,automecanicalamin@outlook.com,"Rua Aracuã, 93 - SC",oficina/auto,https://auto-mecanica-lamin.negocio.site/,+55 47 3473 5106
Claus Mecânica Pesada,contato@mecanicaclaus.com.br,"Rua Arthur Witthoft, 100 - SC",oficina/auto,https://www.mecanicaclaus.com.br/,+55 47 3370-4100
Alfa Auto Mecânica,alfaautomecanica@hotmail.com,SC,oficina/auto,,"+55 47 3387-0087;+55 47 99153-2766"
BMS Performance,contato@bmsperformance.com.br,"Rua Tijucas, 1313 - SC",oficina/auto,https://www.bmsperformance.com.br/,+55 48 3771-5520
HG Diesel,vendas@hgdiesel.com.br,SC,oficina/auto,https://hgdiesel.com.br,"+55 47 3338-1322;+55 47 3338-4033"
Auto Elétrica Celso,autoeletricacelso@gmail.com,SC,oficina/auto,,+55 47 3306-6279
Kraft Auto Socorro,autosocorro2k@hotmail.com,SC,oficina/auto,,+55 47 3395-1666
Maquinária,maquinaria@maquinaria.com.br,SC,oficina/auto,,+55 47 3041-6610
Goll Oficina Mecânica,contato@retificagoll.com.br,"Rua Oscar Holz, 808 - SC",oficina/auto,https://retificagoll.com.br,"+55 47 3334-3835;+55 47 99912-8514"
Reinicke Oficina Mecânica,oficinareinicke@gmail.com,SC,oficina/auto,,+55 47 3387-0831
Ducar Imports,eduardo@ducarimports.com.br,SC,oficina/auto,https://ducarimports.com.br,+55 47 3037-1999
JD Auto Center,contato@jdautocenter.com.br,"Rua Doutor Pedro Zimmermann, 8090 - SC",oficina/auto,,+55 47 3338-0551
Auto Latoaria Wollick,wautolatoaria@yahoo.com.br,"Rua Ernst Klemann, 45 - SC",oficina/auto,,"+55 47 3387-0960;+55 47 99991-6192"
JR Mecânica e Elétrica,mecanica.jr@terra.com.br,"Rua Rodeio, 153 - SC",oficina/auto,,"+55 47 3326-4264;+55 47 3322-2786"
Multielétrica Automotiva,mutieletrica@gmail.com,"Rua Brusque, 220 - SC",oficina/auto,,+55 47 3333-1204
Naza Automotive Services,contato@nazaauto.com.br,"Rua das Missões, 1075 - SC",oficina/auto,http://nazaauto.com.br/,+55 47 3327-6802
Oficina Testo Central,oficinat.bnu@terra.com.br,SC,oficina/auto,,+55 47 3387-6188
ESS Car Service,ed_1647@yahoo.com.br,"Rua Camboriú, 93 - SC",oficina/auto,,+55 47 3042-0642
Retífica Excelsior,retificaexcelsior@gmail.com,"Rua Sorocaba, 87 - SC",oficina/auto,https://retificare.com.br,+55 47 3340-2519
SS Suspensões,contato@sssuspensoes.com,"Rua Santa Efigênia, 58 - SC",oficina/auto,,+55 47 3209-2111
Marchetti Truck Center,blumenau@grupomarchetti.com,"Rodovia BR-470, 2685 - SC",oficina/auto,https://www.grupomarchetti.com,+55 47 3338-3444
Eurocar,contato@eurocarblu.com.br,"Rua 2 de Setembro, 1211 - SC",oficina/auto,http://www.eurocarblu.com.br/,+55 47 3323-9010
Seven Car Centro Automotivo,contato@sevencarcentroautomotivo.com.br,"Rua 7 de Setembro, 2323 - SC",oficina/auto,https://sevencarcentroautomotivo.com.br,+55 47 3513-3913
LS Motor Home Trailer,lsmotorhome@hotmail.com,Rua Rosa - SC,oficina/auto,,
MDC Mecanica,mecanicachapeco.adm@gmail.com,Rodovia Eugênio Raulino Koerich - SC,oficina/auto,,+55 48 3247 1134
Auto Mecânica Tecno Car,jefersontecnocar@hotmail.com,Rua Evilásio Justino Ramos - Barra Velha - SC,oficina/auto,,+55 47 99155-4339
Blu Caps,atendimento@blucaps.com.br,"Rua das Missões, 259 - Blumenau - SC",oficina/auto,https://blucaps.com.br,+55 47 3037-5953
Acessórios SB,contato@acessoriossb.com.br,"Rua Ari Barroso, 640 - Blumenau - SC",oficina/auto,http://acessoriossb.com.br,+55 47 3338-0001
EPR Centro Automotivo - oficina e elétrica automotiva - mecânica,eprcentroautomotivo@gmail.com,"Rua Oscar Vieira, 1001 - Camboriú - SC",oficina/auto,https://www.instagram.com/eprcentroautomotivo/,+5547988350706
EPR oficina mecânica - serviços automotivo - elétrica e mecãnica automotiva,eprcentroautomotivo@gmail.com,"Rua Oscar Vieira, 1001 - Camboriú - SC",oficina/auto,https://www.instagram.com/eprcentroautomotivo/,+5547988350706
Laucar Oficina Mecânica Multimarcas,laucarmultimarcas@yahoo.com.br,"Avenida Santos Dumont, 1305 - Criciúma - SC",oficina/auto,https://www.laucarmultimarcas.com.br/,+55 48 3443-9030
Total Center Car,total.center.car@hotmail.com,"Rua João Pio Duarte Silva, 1491 - Florianópolis - SC",oficina/auto,,+55 48 3364 2006
Casa Grande Auto Shopping,contato@casagrandeautoshopping.com.br,"Avenida Marinheiro Max Schramm, 3325 - Florianópolis - SC",oficina/auto,https://casagrandeautoshopping.com.br,+55 48 3240-4900
Vale Parabrisas,valeparabrisas@hotmail.com,"Rodovia Augusto Hasse, 875 - Indaial - SC",oficina/auto,https://www.valeparabrisas.com.br/,+55 47 3378-0212
WD Auto Center,wdautocenter.mp@gmail.com,"Rua Maria Simão, 920 - Indaial - SC",oficina/auto,https://wdautocenter.com.br/,+55 47 3333 3631
Tasale Recuperadora,sinistro.bc@tasale.com.br,Avenida Vereador Nilo Simas - Itajaí - SC,oficina/auto,https://tasale.com.br/,+55 47 3241-6362
Maquinária Reparação Automotiva,maquinaria@maquinariabc.com.br,"Rodovia Governador Mário Covas, 3875 - Itajaí - SC",oficina/auto,https://www.maquinaria.com.br/,+55 47 3349 0693 / +55 47 98817 9412
Haas Centro Automotivo,contato@haascentroautomotivo.com.br,"Rua Jorge Czerniewicz, 42 - Jaraguá do Sul - SC",oficina/auto,http://www.haascentroautomotivo.com.br/,+55 47 3275-0712
Alfa Car Auto Elétrica,alfacar@alfacar.com.br,"Rua Tenente Antônio João, 425 - Joinville - SC",oficina/auto,http://www.alfacar.com.br,+55 47 3425-2057
Schulz Soluções Automotivas,atendimento@schulzsa.com.br,"Rua Iguaçu, 365 - Joinville - SC",oficina/auto,http://www.schulzsa.com.br,+55 47 3028 7393
