nome,telefone,whatsapp_link,categoria,localizacao
Finder Auto Center,(47) 34721000,https://wa.me/554734721000,funilaria/pintura,"Rua Ibirama, 21 - SC"
Martelinho de Ouro Célio,(47) 992219926,https://wa.me/5547992219926,martelinho,SC
Jaime Pinturas Automotivas,(47) 33785181,https://wa.me/554733785181,pintura,SC
Latoaria e Pintura Rocha,(47) 992572985,https://wa.me/5547992572985,pintura,SC
Chapeação e Pintura Luiz,(51) 986254432,https://wa.me/5551986254432,pintura,SC
Pool Car Auto Pintura,(47) 33363726,https://wa.me/554733363726,pintura,SC
Fontana Chapeação,(47) 992936033,https://wa.me/5547992936033,funilaria/pintura,SC
Street Car Estética Automotiva,(48) 991726943,https://wa.me/5548991726943,estetica-automotiva,"Rua Comandante Moreira, 1060 - SC"
Werle Chapeação e Pintura,(49) 999269168,https://wa.me/5549999269168,pintura,"Rua Itu, 35 - SC"
2M Pintura Automotiva,(47) 991918026,https://wa.me/5547991918026,pintura,SC
Cirilus Car Latoaria e Pintura,(47) 996351908,https://wa.me/5547996351908,pintura,SC
Área 47 Pintura Automotiva,(47) 984455911,https://wa.me/5547984455911,pintura,SC
Original Lanternagem e Pintura,(47) 33252744,https://wa.me/554733252744,funilaria,SC
Beto Latoaria,(47) 32321001,https://wa.me/554732321001,funilaria/pintura,SC
Kiko Pinturas,(47) 33873767,https://wa.me/554733873767,pintura,SC
Eder Pintura Automotiva,(47) 33224331,https://wa.me/554733224331,pintura,"Rua Theodoro Pereira, 87 - SC"
Pomercar,(47) 33871236,https://wa.me/554733871236,funilaria/pintura,"Rua Pomerânia, 218 - SC"
Tino Chapeação e Pintura,(48) 996743320,https://wa.me/5548996743320,pintura,"Avenida Coronel João Fernandes, 393 - Araranguá - SC"
Box Car Lataria e Pintura,(47) 32761149,https://wa.me/554732761149,pintura,"Rua Frederico Curt Alberto Vasel, 382 - Jaraguá do Sul - SC"
Funilaria e Pintura Knopf,(47) 33066608,https://wa.me/554733066608,funilaria,"Rua Pedro Knopf, 434 - Pomerode - SC"
NFtec Serviços Automotivos,(48) 32201869,https://wa.me/554832201869,funilaria/pintura,Servidão Zulma Becker de Freitas - Santo Amaro da Imperatriz - SC
