angle_id,angle_name,audience,landing,primary_text,headline,description,image
amassado-preexistente,Prova — amassado pré-existente,Locadoras,https://danosaparentes.com.br/blog/como-provar-amassado-pre-existente-locacao,"Cliente diz que o amassado já estava lá. Sem vistoria de entrada, você perde. Com laudo (foto + GPS + hash), a prova fecha o caso.",Prove o amassado na entrada,Teste o plano Pro,https://danosaparentes.com.br/ads/impact/amas-loss-1200x628.jpg?v=20260719b
amassado-preexistente,Prova — amassado pré-existente,Locadoras,https://danosaparentes.com.br/blog/como-provar-amassado-pre-existente-locacao,"Palavra contra palavra na devolução? Não. Marque o amassado no diagrama, anexe foto e gere PDF com hash — pronto pro WhatsApp.",Laudo com hash e QR Code,PDF no WhatsApp,https://danosaparentes.com.br/ads/impact/amas-loss-1200x628.jpg?v=20260719b
amassado-preexistente,Prova — amassado pré-existente,Locadoras,https://danosaparentes.com.br/blog/como-provar-amassado-pre-existente-locacao,Locadora: prove o dano pré-existente em minutos. 7 dias grátis no Danos Aparentes.,7 dias grátis pra locadora,Sem cartão pra começar,https://danosaparentes.com.br/ads/impact/amas-loss-1200x628.jpg?v=20260719b
cobranca-devolucao,Dor→Prova — cobrança na devolução,Locadoras,https://danosaparentes.com.br/blog/cobranca-avaria-devolucao-locadora,"Cliente nega o risco na devolução e a cobrança morre. Com retirada × devolução no mesmo padrão + laudo assinável, você sustenta a cobrança.",Cobre avaria com prova,Teste 7 dias grátis,https://danosaparentes.com.br/ads/impact/cobranca-devolucao-1200x628.jpg?v=20260719b
cobranca-devolucao,Dor→Prova — cobrança na devolução,Locadoras,https://danosaparentes.com.br/blog/cobranca-avaria-devolucao-locadora,Cada vistoriador faz de um jeito = cobrança fraca. Padronize no celular e mande o PDF com a marca da locadora no WhatsApp.,Retirada × devolução iguais,Laudo no WhatsApp,https://danosaparentes.com.br/ads/impact/cobranca-devolucao-1200x628.jpg?v=20260719b
cobranca-devolucao,Dor→Prova — cobrança na devolução,Locadoras,https://danosaparentes.com.br/blog/cobranca-avaria-devolucao-locadora,Cobre avaria sem virar discussão. 7 dias grátis no Danos Aparentes.,PDF com a sua marca,"Plano Pro R$49,90",https://danosaparentes.com.br/ads/impact/cobranca-devolucao-1200x628.jpg?v=20260719b
oficina-orcamento,Dor — vistoria antes do orçamento,Oficinas,https://danosaparentes.com.br/blog/vistoria-antes-do-orcamento-oficina,"Orçamento contestado e cliente falando “não era assim”. Registre o estado na entrada — diagrama, foto e aceite — e entregue laudo profissional.",Vistoria antes do orçamento,7 dias grátis,https://danosaparentes.com.br/ads/impact/oficina-orcamento-1200x628.jpg?v=20260719b
oficina-orcamento,Dor — vistoria antes do orçamento,Oficinas,https://danosaparentes.com.br/blog/vistoria-antes-do-orcamento-oficina,Foto solta no WhatsApp não fecha discussão. Laudo na entrada da oficina fecha.,Pare o “não era assim”,Para oficinas,https://danosaparentes.com.br/ads/impact/oficina-orcamento-1200x628.jpg?v=20260719b
oficina-orcamento,Dor — vistoria antes do orçamento,Oficinas,https://danosaparentes.com.br/blog/vistoria-antes-do-orcamento-oficina,Oficina: vistoria antes do orçamento. 7 dias grátis.,Laudo profissional na entrada,Teste agora,https://danosaparentes.com.br/ads/impact/oficina-orcamento-1200x628.jpg?v=20260719b
consulta-placa,Desejo — consulta automática de placa,Vistoriadores / operações,https://danosaparentes.com.br/blog/consulta-automatica-de-placa,"Marca, modelo, cor e cidade — sem digitar um por um. Basta a placa. O resto se preenche.",Digite a placa. Pronto.,Teste 7 dias grátis,https://danosaparentes.com.br/ads/impact/consulta-placa-1200x628.jpg?v=20260719b
consulta-placa,Desejo — consulta automática de placa,Vistoriadores / operações,https://danosaparentes.com.br/blog/consulta-automatica-de-placa,"Cada campo digitado à mão é tempo (e erro). No Danos Aparentes, a placa resolve.",Autofill do veículo,Incluso no Pro,https://danosaparentes.com.br/ads/impact/consulta-placa-1200x628.jpg?v=20260719b
